feature,count
股东减持,24
暂停熔断,16
新股发行,15
股市暴跌,12
机制好,12
股市好,11
股市涨,11
股市跌,10
股市下跌,9
脑残,7
真正原因,7
期货做,7
国际接轨,7
价值投资,7
股票跌停,7
只想,7
好股市,7
反对熔断,7
股市健康,6
市场搞,6
大盘跌,6
再熔断,6
股市搞,6
经济发展,6
人民币贬值,6
好股票,6
恐慌情绪,6
机制熔断,6
广大股民,6
机制保护,6
小编,6
制度改,5
现金分红,5
定向增发,5
利用熔断,5
根本问题,5
股市融资,5
人为制造,5
股票跌,5
股市大跌,5
小散们,5
股市涨跌,5
股民想,5
小肛,5
稳定市场,5
股市投资,5
股票涨,5
慢牛,5
稳定股市,5
股市熔断,5
