熔断机制,0.105263,0.066667,0.066667,0.136364,0.066667,0.066667,0.066667,0.123690,0.092000,0.079545,0.111335,0.076042,0.085642,0.031579,0.042146,0.038462,0.066667,0.043478,0.050000,0.062500,0.117647,0.058824,0.066667,0.052632,0.102564,0.090909,0.058824,0.066667,0.066667,0.050000,
市场,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.069182,0.128000,0.170455,0.091688,0.102083,0.075567,0.073684,0.095785,0.115385,0.133333,0.130435,0.050000,0.125000,0.058824,0.058824,0.066667,0.052632,0.076923,0.090909,0.117647,0.066667,0.066667,0.100000,
机制,0.105263,0.066667,0.066667,0.136364,0.066667,0.066667,0.066667,0.156184,0.106000,0.079545,0.133501,0.091667,0.120907,0.045614,0.049808,0.038462,0.100000,0.043478,0.050000,0.062500,0.117647,0.058824,0.066667,0.105263,0.102564,0.090909,0.058824,0.066667,0.066667,0.050000,
股市,0.105263,0.066667,0.066667,0.090909,0.066667,0.066667,0.066667,0.235849,0.218000,0.193182,0.183375,0.217708,0.176322,0.224561,0.272031,0.205128,0.100000,0.130435,0.100000,0.062500,0.058824,0.117647,0.066667,0.105263,0.230769,0.045455,0.058824,0.066667,0.066667,0.100000,
交易,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.040881,0.038000,0.079545,0.058438,0.053125,0.040302,0.052632,0.022989,0.025641,0.133333,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.051282,0.045455,0.058824,0.066667,0.066667,0.050000,
中国,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.166667,0.164000,0.125000,0.138035,0.185417,0.249370,0.200000,0.176245,0.179487,0.033333,0.130435,0.100000,0.062500,0.058824,0.058824,0.066667,0.105263,0.102564,0.090909,0.117647,0.066667,0.066667,0.100000,
投资者,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.027254,0.058000,0.068182,0.023174,0.031250,0.027708,0.024561,0.034483,0.064103,0.033333,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.025641,0.090909,0.058824,0.066667,0.066667,0.100000,
基金,0.052632,0.066667,0.066667,0.090909,0.066667,0.066667,0.066667,0.008386,0.008000,0.011364,0.035768,0.014583,0.012594,0.014035,0.034483,0.038462,0.033333,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.025641,0.045455,0.058824,0.066667,0.066667,0.100000,
A股,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.015723,0.020000,0.011364,0.020151,0.017708,0.027708,0.010526,0.015326,0.012821,0.033333,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.051282,0.045455,0.058824,0.066667,0.066667,0.050000,
制度,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.026205,0.038000,0.056818,0.048363,0.034375,0.025189,0.038596,0.026820,0.051282,0.100000,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.076923,0.090909,0.058824,0.066667,0.066667,0.050000,
股票,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.051363,0.050000,0.056818,0.059950,0.055208,0.035264,0.073684,0.099617,0.076923,0.033333,0.043478,0.050000,0.062500,0.058824,0.117647,0.066667,0.052632,0.025641,0.090909,0.058824,0.066667,0.066667,0.050000,
指数,0.052632,0.066667,0.066667,0.090909,0.066667,0.066667,0.066667,0.012579,0.010000,0.022727,0.016121,0.012500,0.007557,0.014035,0.015326,0.012821,0.033333,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.025641,0.045455,0.058824,0.066667,0.066667,0.050000,
熔断制度,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.002096,0.002000,0.011364,0.012091,0.006250,0.002519,0.003509,0.007663,0.012821,0.033333,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.025641,0.045455,0.058824,0.066667,0.066667,0.050000,
经济,0.052632,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.046122,0.056000,0.022727,0.035264,0.076042,0.075567,0.070175,0.068966,0.051282,0.033333,0.130435,0.200000,0.062500,0.058824,0.058824,0.066667,0.105263,0.025641,0.045455,0.058824,0.066667,0.066667,0.050000,
注册制,0.105263,0.066667,0.066667,0.045455,0.066667,0.066667,0.066667,0.017820,0.012000,0.011364,0.032746,0.026042,0.037783,0.122807,0.038314,0.076923,0.100000,0.043478,0.050000,0.062500,0.058824,0.058824,0.066667,0.052632,0.051282,0.045455,0.058824,0.066667,0.066667,0.050000,
